month,district,sentiment_score,review_count,sentiment_score_normalized
2015-11,Badulla,0.8333333333333334,6,91.66666666666667
2015-11,Colombo,0.4,5,70.0
2015-11,Galle,1.0,5,100.0
2015-11,Jaffna,0.6363636363636364,11,81.81818181818181
2015-11,Kalutara,0.0,2,50.0
2015-11,Kandy,0.5,8,75.0
2015-11,Matale,0.4444444444444444,9,72.22222222222221
2015-11,Nuwara Eliya,0.9375,16,96.875
2015-11,Other,1.0,7,100.0
2015-11,Trincomalee,1.0,1,100.0
2015-12,Anuradhapura,0.4117647058823529,34,70.58823529411764
2015-12,Badulla,1.0,8,100.0
2015-12,Colombo,0.7894736842105263,19,89.47368421052632
2015-12,Galle,0.9090909090909091,11,95.45454545454545
2015-12,Jaffna,0.6666666666666666,6,83.33333333333333
2015-12,Kalutara,1.0,2,100.0
2015-12,Kandy,0.5294117647058824,17,76.47058823529412
2015-12,Matale,0.15384615384615385,13,57.692307692307686
2015-12,Nuwara Eliya,0.6521739130434783,23,82.6086956521739
2015-12,Other,0.9375,16,96.875
2015-12,Trincomalee,0.2,5,60.0
2016-01,Anuradhapura,0.75,44,87.5
2016-01,Badulla,0.8461538461538461,13,92.3076923076923
2016-01,Colombo,0.6470588235294118,17,82.35294117647058
2016-01,Galle,0.75,8,87.5
2016-01,Jaffna,0.7142857142857143,14,85.71428571428572
2016-01,Kalutara,0.8571428571428571,7,92.85714285714286
2016-01,Kandy,0.8,15,90.0
2016-01,Matale,0.5555555555555556,9,77.77777777777779
2016-01,Nuwara Eliya,0.90625,32,95.3125
2016-01,Other,0.5384615384615384,13,76.92307692307692
2016-01,Trincomalee,1.0,6,100.0
2016-02,Anuradhapura,0.8292682926829268,41,91.46341463414633
2016-02,Badulla,0.5333333333333333,15,76.66666666666666
2016-02,Colombo,0.7,10,85.0
2016-02,Galle,1.0,16,100.0
2016-02,Jaffna,0.6923076923076923,13,84.61538461538461
2016-02,Kalutara,0.6666666666666666,9,83.33333333333333
2016-02,Kandy,0.7692307692307693,26,88.46153846153845
2016-02,Matale,0.875,8,93.75
2016-02,Nuwara Eliya,0.72,25,86.0
2016-02,Other,0.48,25,74.0
2016-02,Trincomalee,0.5,6,75.0
2016-03,Anuradhapura,0.75,52,87.5
2016-03,Badulla,0.3,10,65.0
2016-03,Colombo,0.8461538461538461,13,92.3076923076923
2016-03,Galle,0.9333333333333333,15,96.66666666666667
2016-03,Jaffna,0.25,8,62.5
2016-03,Kalutara,0.8,5,90.0
2016-03,Kandy,0.6842105263157895,19,84.21052631578947
2016-03,Matale,0.5,8,75.0
2016-03,Nuwara Eliya,0.6896551724137931,29,84.48275862068965
2016-03,Other,0.6923076923076923,13,84.61538461538461
2016-03,Trincomalee,0.25,4,62.5
2016-04,Ampara,1.0,1,100.0
2016-04,Anuradhapura,0.6071428571428571,28,80.35714285714286
2016-04,Badulla,0.46153846153846156,13,73.07692307692308
2016-04,Colombo,0.9285714285714286,14,96.42857142857143
2016-04,Galle,0.8571428571428571,14,92.85714285714286
2016-04,Jaffna,0.2857142857142857,7,64.28571428571428
2016-04,Kalutara,0.5454545454545454,11,77.27272727272727
2016-04,Kandy,0.7857142857142857,14,89.28571428571428
2016-04,Matale,0.3333333333333333,3,66.66666666666666
2016-04,Nuwara Eliya,0.7222222222222222,18,86.11111111111111
2016-04,Other,0.8888888888888888,9,94.44444444444444
2016-04,Trincomalee,0.8,5,90.0
2016-05,Anuradhapura,0.6666666666666666,9,83.33333333333333
2016-05,Badulla,1.0,5,100.0
2016-05,Colombo,0.2,5,60.0
2016-05,Galle,1.0,4,100.0
2016-05,Jaffna,0.6666666666666666,6,83.33333333333333
2016-05,Kalutara,1.0,3,100.0
2016-05,Kandy,0.8,10,90.0
2016-05,Matale,1.0,3,100.0
2016-05,Nuwara Eliya,0.21428571428571427,14,60.71428571428571
2016-05,Other,0.7777777777777778,9,88.88888888888889
2016-05,Trincomalee,1.0,3,100.0
2016-06,Ampara,-1.0,1,0.0
2016-06,Anuradhapura,0.9411764705882353,17,97.05882352941177
2016-06,Badulla,0.75,8,87.5
2016-06,Colombo,-0.2,5,40.0
2016-06,Galle,1.0,5,100.0
2016-06,Jaffna,1.0,3,100.0
2016-06,Kalutara,0.3333333333333333,6,66.66666666666666
2016-06,Kandy,0.375,8,68.75
2016-06,Matale,0.6666666666666666,6,83.33333333333333
2016-06,Nuwara Eliya,0.7692307692307693,13,88.46153846153845
2016-06,Other,1.0,3,100.0
2016-06,Trincomalee,0.9411764705882353,17,97.05882352941177
2016-07,Ampara,0.3333333333333333,3,66.66666666666666
2016-07,Anuradhapura,0.8333333333333334,42,91.66666666666667
2016-07,Badulla,0.5714285714285714,14,78.57142857142857
2016-07,Colombo,0.5,6,75.0
2016-07,Galle,1.0,16,100.0
2016-07,Jaffna,0.5,4,75.0
2016-07,Kalutara,0.6,10,80.0
2016-07,Kandy,0.5294117647058824,17,76.47058823529412
2016-07,Matale,0.7,10,85.0
2016-07,Nuwara Eliya,0.6538461538461539,26,82.6923076923077
2016-07,Other,0.875,8,93.75
2016-07,Trincomalee,0.6896551724137931,29,84.48275862068965
2016-08,Ampara,0.5,6,75.0
2016-08,Anuradhapura,0.896551724137931,58,94.82758620689656
2016-08,Badulla,0.8571428571428571,28,92.85714285714286
2016-08,Colombo,0.45454545454545453,11,72.72727272727273
2016-08,Galle,1.0,16,100.0
2016-08,Jaffna,0.3333333333333333,6,66.66666666666666
2016-08,Kalutara,0.42857142857142855,14,71.42857142857143
2016-08,Kandy,0.75,16,87.5
2016-08,Matale,0.6818181818181818,22,84.09090909090908
2016-08,Nuwara Eliya,0.7391304347826086,23,86.95652173913044
2016-08,Other,0.5555555555555556,18,77.77777777777779
2016-08,Trincomalee,0.7307692307692307,26,86.53846153846155
2016-09,Ampara,0.5,2,75.0
2016-09,Anuradhapura,0.84375,32,92.1875
2016-09,Badulla,0.5,12,75.0
2016-09,Colombo,0.3,10,65.0
2016-09,Galle,1.0,13,100.0
2016-09,Jaffna,0.6,5,80.0
2016-09,Kalutara,0.6,10,80.0
2016-09,Kandy,0.6666666666666666,21,83.33333333333333
2016-09,Matale,0.5,12,75.0
2016-09,Nuwara Eliya,0.6190476190476191,21,80.95238095238095
2016-09,Other,0.8823529411764706,17,94.11764705882352
2016-09,Trincomalee,0.85,20,92.5
2016-10,Ampara,0.5,2,75.0
2016-10,Anuradhapura,0.9285714285714286,28,96.42857142857143
2016-10,Badulla,0.75,8,87.5
2016-10,Colombo,0.2,5,60.0
