month,sentiment_score,positive_count,review_count,negative_count,neutral_count,sentiment_score_normalized,ampara_sentiment,anuradhapura_sentiment,badulla_sentiment,colombo_sentiment,galle_sentiment,gampaha_sentiment,jaffna_sentiment,kalutara_sentiment,kandy_sentiment,matale_sentiment,nuwara_eliya_sentiment,other_sentiment,polonnaruwa_sentiment,trincomalee_sentiment,ampara_reviews,anuradhapura_reviews,badulla_reviews,colombo_reviews,galle_reviews,gampaha_reviews,jaffna_reviews,kalutara_reviews,kandy_reviews,matale_reviews,nuwara_eliya_reviews,other_reviews,polonnaruwa_reviews,trincomalee_reviews
2016-03,0.6815642458100558,132,179,10,37,84.07821229050279,0.6815642458100558,0.75,0.3,0.8461538461538461,0.9333333333333333,0.6815642458100558,0.25,0.8,0.6842105263157895,0.5,0.6896551724137931,0.6923076923076923,0.6815642458100558,0.25,,52.0,10.0,13.0,15.0,,8.0,5.0,19.0,8.0,29.0,13.0,,4.0
2016-04,0.6884057971014492,102,138,7,29,84.42028985507247,1.0,0.6071428571428571,0.46153846153846156,0.9285714285714286,0.8571428571428571,0.6884057971014492,0.2857142857142857,0.5454545454545454,0.7857142857142857,0.3333333333333333,0.7222222222222222,0.8888888888888888,0.6884057971014492,0.8,1.0,28.0,13.0,14.0,14.0,,7.0,11.0,14.0,3.0,18.0,9.0,,5.0
2016-05,0.6666666666666666,54,72,6,12,83.33333333333333,0.6666666666666666,0.6666666666666666,1.0,0.2,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,0.21428571428571427,0.7777777777777778,0.6666666666666666,1.0,,9.0,5.0,5.0,4.0,,6.0,3.0,10.0,3.0,14.0,9.0,,3.0
2016-06,0.717391304347826,70,92,4,18,85.86956521739131,-1.0,0.9411764705882353,0.75,-0.2,1.0,0.717391304347826,1.0,0.3333333333333333,0.375,0.6666666666666666,0.7692307692307693,1.0,0.717391304347826,0.9411764705882353,1.0,17.0,8.0,5.0,5.0,,3.0,6.0,8.0,6.0,13.0,3.0,,17.0
2016-07,0.7112299465240641,145,187,12,30,85.56149732620321,0.3333333333333333,0.8333333333333334,0.5714285714285714,0.5,1.0,0.7112299465240641,0.5,0.6,0.5294117647058824,0.7,0.6538461538461539,0.875,0.7112299465240641,0.6896551724137931,3.0,42.0,14.0,6.0,16.0,,4.0,10.0,17.0,10.0,26.0,8.0,,29.0
2016-08,0.7449392712550608,200,247,16,31,87.24696356275304,0.5,0.896551724137931,0.8571428571428571,0.45454545454545453,1.0,0.7449392712550608,0.3333333333333333,0.42857142857142855,0.75,0.6818181818181818,0.7391304347826086,0.5555555555555556,0.7449392712550608,0.7307692307692307,6.0,58.0,28.0,11.0,16.0,,6.0,14.0,16.0,22.0,23.0,18.0,,26.0
2016-09,0.7085714285714285,138,175,14,23,85.42857142857143,0.5,0.84375,0.5,0.3,1.0,0.7085714285714285,0.6,0.6,0.6666666666666666,0.5,0.6190476190476191,0.8823529411764706,0.7085714285714285,0.85,2.0,32.0,12.0,10.0,13.0,,5.0,10.0,21.0,12.0,21.0,17.0,,20.0
2016-10,0.7432432432432432,117,148,7,24,87.16216216216216,0.5,0.9285714285714286,0.75,0.2,0.9166666666666666,0.7432432432432432,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.46153846153846156,0.6785714285714286,0.7692307692307693,0.7432432432432432,1.0,2.0,28.0,8.0,5.0,12.0,,3.0,12.0,9.0,13.0,28.0,13.0,,13.0
2016-11,0.7664233576642335,112,137,7,18,88.32116788321167,0.6666666666666666,0.8529411764705882,0.8571428571428571,1.0,1.0,0.7664233576642335,0.75,-0.2222222222222222,1.0,0.5,0.8421052631578947,0.6470588235294118,0.7664233576642335,1.0,3.0,34.0,7.0,7.0,10.0,,8.0,9.0,9.0,6.0,19.0,17.0,,7.0
2016-12,0.740072202166065,215,277,10,52,87.00361010830323,1.0,0.6808510638297872,0.7727272727272727,0.75,0.9130434782608695,0.740072202166065,0.8125,0.6153846153846154,0.76,0.6666666666666666,0.6379310344827587,0.7692307692307693,0.740072202166065,0.875,2.0,47.0,22.0,16.0,23.0,,16.0,13.0,25.0,9.0,58.0,26.0,,16.0
